Country,Year,EFindex
Congo,1960,0.7
Congo,1961,0.701
Congo,1962,0.701
Congo,1963,0.702
Congo,1964,0.702
Congo,1965,0.702
Congo,1966,0.703
Congo,1967,0.703
Congo,1968,0.703
Congo,1969,0.704
Congo,1970,0.704
Congo,1971,0.704
Congo,1972,0.705
Congo,1973,0.705
Congo,1974,0.705
Congo,1975,0.705
Congo,1976,0.705
Congo,1977,0.706
Congo,1978,0.706
Congo,1979,0.706
Congo,1980,0.706
Congo,1981,0.706
Congo,1982,0.707
Congo,1983,0.707
Congo,1984,0.707
Congo,1985,0.707
Congo,1986,0.707
Congo,1987,0.707
Congo,1988,0.707
Congo,1989,0.707
Congo,1990,0.707
Congo,1991,0.707
Congo,1992,0.707
Congo,1993,0.707
Congo,1994,0.707
Congo,1995,0.707
Congo,1996,0.707
Congo,1997,0.707
Congo,1998,0.707
Congo,1999,0.707
Congo,2000,0.707
Congo,2001,0.707
Congo,2002,0.707
Congo,2003,0.707
Congo,2004,0.706
Congo,2005,0.706
Congo,2006,0.706
Congo,2007,0.706
Congo,2008,0.706
Congo,2009,0.705
Congo,2010,0.705
Congo,2011,0.705
Congo,2012,0.704
Congo,2013,0.704
Eritrea,1993,0.674
Eritrea,1994,0.675
Eritrea,1995,0.675
Eritrea,1996,0.675
Eritrea,1997,0.675
Eritrea,1998,0.675
Eritrea,1999,0.675
Eritrea,2000,0.675
Eritrea,2001,0.674
Eritrea,2002,0.674
Eritrea,2003,0.673
Eritrea,2004,0.673
Eritrea,2005,0.672
Eritrea,2006,0.671
Eritrea,2007,0.669
Eritrea,2008,0.668
Eritrea,2009,0.667
Eritrea,2010,0.665
Eritrea,2011,0.663
Eritrea,2012,0.661
Eritrea,2013,0.659
Zimbabwe,1965,0.385
Zimbabwe,1966,0.383
Zimbabwe,1967,0.381
Zimbabwe,1968,0.379
Zimbabwe,1969,0.376
Zimbabwe,1970,0.374
Zimbabwe,1971,0.372
Zimbabwe,1972,0.37
Zimbabwe,1973,0.368
Zimbabwe,1974,0.366
Zimbabwe,1975,0.367
Zimbabwe,1976,0.369
Zimbabwe,1977,0.371
Zimbabwe,1978,0.372
Zimbabwe,1979,0.374
Zimbabwe,1980,0.375
Zimbabwe,1981,0.377
Zimbabwe,1982,0.378
Zimbabwe,1983,0.38
Zimbabwe,1984,0.381
Zimbabwe,1985,0.383
Zimbabwe,1986,0.384
Zimbabwe,1987,0.385
Zimbabwe,1988,0.387
Zimbabwe,1989,0.388
Zimbabwe,1990,0.389
Zimbabwe,1991,0.391
Zimbabwe,1992,0.392
Zimbabwe,1993,0.393
Zimbabwe,1994,0.395
Zimbabwe,1995,0.396
Zimbabwe,1996,0.397
Zimbabwe,1997,0.398
Zimbabwe,1998,0.399
Zimbabwe,1999,0.4
Zimbabwe,2000,0.402
Zimbabwe,2001,0.403
Zimbabwe,2002,0.404
Zimbabwe,2003,0.405
Zimbabwe,2004,0.406
Zimbabwe,2005,0.407
Zimbabwe,2006,0.408
Zimbabwe,2007,0.409
Zimbabwe,2008,0.41
Zimbabwe,2009,0.411
Zimbabwe,2010,0.412
Zimbabwe,2011,0.413
Zimbabwe,2012,0.414
Zimbabwe,2013,0.415
Cuba,1945,0.448
Cuba,1946,0.448
Cuba,1947,0.448
Cuba,1948,0.448
Cuba,1949,0.448
Cuba,1950,0.449
Cuba,1951,0.449
Cuba,1952,0.449
Cuba,1953,0.449
Cuba,1954,0.449
Cuba,1955,0.45
Cuba,1956,0.45
Cuba,1957,0.45
Cuba,1958,0.45
Cuba,1959,0.45
Cuba,1960,0.451
Cuba,1961,0.451
Cuba,1962,0.451
Cuba,1963,0.451
Cuba,1964,0.451
Cuba,1965,0.452
Cuba,1966,0.452
Cuba,1967,0.452
