Name,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Afghanistan,2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Albania,2001,56.6,30.0,23.0,N/A,79.5,71.2,N/A,70.0,N/A,71.8,63.8,70.0,30.0
Algeria,2001,57.3,30.0,50.0,N/A,64.6,63.3,N/A,70.0,N/A,78.2,59.6,50.0,50.0
Angola,2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Argentina,2001,68.6,50.0,30.0,N/A,72.5,79.7,N/A,85.0,N/A,95.4,65.0,70.0,70.0
Armenia,2001,66.4,50.0,30.0,N/A,81.9,85.5,N/A,55.0,N/A,77.8,77.0,70.0,70.0
Australia,2001,77.4,90.0,87.0,N/A,55.4,67.3,N/A,70.0,N/A,87.9,79.0,70.0,90.0
Austria,2001,68.1,90.0,76.0,N/A,44.2,25.0,N/A,70.0,N/A,89.6,78.0,70.0,70.0
Azerbaijan,2001,50.3,30.0,17.0,N/A,71.8,86.8,N/A,55.0,N/A,65.1,66.8,30.0,30.0
Bahrain,2001,75.9,60.0,70.0,N/A,99.2,73.0,N/A,85.0,N/A,90.3,75.4,50.0,80.0
"Bangladesh ",2001,51.2,30.0,23.0,N/A,77.3,93.3,N/A,40.0,N/A,68.6,48.8,50.0,30.0
Barbados,2001,71.5,90.0,70.0,N/A,58.8,65.3,N/A,85.0,N/A,87.4,46.8,70.0,70.0
Belarus,2001,38.0,30.0,34.0,N/A,66.0,41.9,N/A,40.0,N/A,0.0,70.2,30.0,30.0
Belgium,2001,63.8,90.0,53.0,N/A,33.2,22.0,N/A,70.0,N/A,88.3,78.0,70.0,70.0
Belize,2001,65.9,70.0,50.0,N/A,83.6,74.8,N/A,70.0,N/A,88.9,56.0,50.0,50.0
Benin,2001,60.1,30.0,30.0,N/A,71.5,97.0,N/A,70.0,N/A,81.2,61.0,50.0,50.0
Bhutan,2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bolivia,2001,68.0,50.0,25.0,N/A,88.2,74.8,N/A,55.0,N/A,87.7,71.6,90.0,70.0
Bosnia and Herzegovina,2001,36.6,10.0,10.0,N/A,67.0,0.0,N/A,40.0,N/A,75.2,67.6,30.0,30.0
Botswana,2001,66.8,70.0,61.0,N/A,80.4,61.1,N/A,70.0,N/A,77.6,61.0,50.0,70.0
Brazil,2001,61.9,50.0,41.0,N/A,87.0,71.2,N/A,70.0,N/A,81.3,57.0,50.0,50.0
Bulgaria,2001,51.9,50.0,33.0,N/A,58.1,67.3,N/A,55.0,N/A,26.2,57.2,70.0,50.0
Burkina Faso,2001,56.7,30.0,10.0,N/A,73.4,76.5,N/A,55.0,N/A,84.6,61.0,70.0,50.0
Burma,2001,46.1,30.0,10.0,N/A,74.9,95.7,N/A,40.0,N/A,55.1,69.0,10.0,30.0
Burundi,2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cabo Verde,2001,56.3,70.0,30.0,N/A,64.9,61.1,N/A,70.0,N/A,71.2,39.4,70.0,30.0
Cambodia,2001,59.6,30.0,30.0,N/A,91.6,94.1,N/A,55.0,N/A,73.2,62.8,50.0,50.0
Cameroon,2001,53.3,30.0,15.0,N/A,50.4,89.2,N/A,55.0,N/A,78.6,61.6,50.0,50.0
Canada,2001,71.2,90.0,92.0,N/A,41.5,47.1,N/A,85.0,N/A,87.2,77.8,50.0,70.0
Central African Republic,2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chad,2001,46.4,30.0,10.0,N/A,45.9,85.5,N/A,55.0,N/A,77.3,53.8,30.0,30.0
Chile,2001,75.1,90.0,69.0,N/A,73.7,84.1,N/A,85.0,N/A,82.4,71.6,70.0,50.0
China,2001,52.6,30.0,34.0,N/A,70.4,94.1,N/A,55.0,N/A,84.1,46.0,30.0,30.0
Colombia,2001,65.6,50.0,29.0,N/A,72.4,88.0,N/A,70.0,N/A,71.7,69.2,70.0,70.0
Comoros,2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Costa Rica ",2001,67.6,50.0,51.0,N/A,83.2,88.0,N/A,70.0,N/A,74.3,71.8,70.0,50.0
"Côte d'Ivoire ",2001,54.8,30.0,26.0,N/A,52.1,82.7,N/A,55.0,N/A,86.0,61.0,50.0,50.0
Croatia,2001,50.7,30.0,27.0,N/A,66.9,33.7,N/A,55.0,N/A,71.7,71.6,50.0,50.0
Cuba,2001,31.6,10.0,10.0,N/A,46.5,0.0,N/A,40.0,N/A,77.0,60.6,30.0,10.0
Cyprus,2001,71.0,90.0,50.0,N/A,71.4,58.9,N/A,85.0,N/A,86.2,77.0,50.0,70.0
Czech Republic,2001,70.2,70.0,46.0,N/A,67.5,49.6,N/A,85.0,N/A,81.2,72.8,70.0,90.0
Democratic Republic of Congo,2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Denmark,2001,68.3,90.0,100.0,N/A,31.6,0.0,N/A,85.0,N/A,90.3,78.0,70.0,70.0
Djibouti,2001,58.3,50.0,30.0,N/A,87.1,67.3,N/A,55.0,N/A,84.0,51.0,50.0,50.0
Dominica,2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dominican Republic,2001,59.1,30.0,30.0,N/A,85.3,93.3,N/A,55.0,N/A,79.2,59.4,50.0,50.0
Ecuador,2001,55.1,30.0,24.0,N/A,90.8,85.5,N/A,55.0,N/A,51.9,59.0,70.0,30.0
Egypt,2001,51.5,50.0,33.0,N/A,66.1,54.4,N/A,55.0,N/A,78.3,47.2,50.0,30.0
"El Salvador ",2001,73.0,50.0,39.0,N/A,83.7,94.1,N/A,85.0,N/A,87.6,77.2,70.0,70.0
Equatorial Guinea,2001,47.9,10.0,10.0,N/A,89.5,90.3,N/A,55.0,N/A,75.1,61.0,30.0,10.0
Eritrea,2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Estonia,2001,76.1,70.0,57.0,N/A,79.6,67.3,N/A,85.0,N/A,80.6,85.0,90.0,70.0
Eswatini,2001,63.6,70.0,30.0,N/A,73.0,74.8,N/A,70.0,N/A,73.9,61.0,70.0,50.0
