Country,Year,EFindex
Ireland,1945,0.051
Ireland,1946,0.052
Ireland,1947,0.053
Ireland,1948,0.054
Ireland,1949,0.055
Ireland,1950,0.056
Ireland,1951,0.057
Ireland,1952,0.058
Ireland,1953,0.059
Ireland,1954,0.06
Ireland,1955,0.061
Ireland,1956,0.063
Ireland,1957,0.064
Ireland,1958,0.065
Ireland,1959,0.066
Ireland,1960,0.068
Ireland,1961,0.069
Ireland,1962,0.07
Ireland,1963,0.072
Ireland,1964,0.073
Ireland,1965,0.074
Ireland,1966,0.076
Ireland,1967,0.077
Ireland,1968,0.079
Ireland,1969,0.08
Ireland,1970,0.082
Ireland,1971,0.083
Ireland,1972,0.085
Ireland,1973,0.086
Ireland,1974,0.088
Ireland,1975,0.089
Ireland,1976,0.091
Ireland,1977,0.093
Ireland,1978,0.094
Ireland,1979,0.096
Ireland,1980,0.098
Ireland,1981,0.1
Ireland,1982,0.102
Ireland,1983,0.103
Ireland,1984,0.105
Ireland,1985,0.107
Ireland,1986,0.109
Ireland,1987,0.111
Ireland,1988,0.113
Ireland,1989,0.115
Ireland,1990,0.117
Ireland,1991,0.119
Ireland,1992,0.122
Ireland,1993,0.124
Ireland,1994,0.126
Ireland,1995,0.128
Ireland,1996,0.13
Ireland,1997,0.133
Ireland,1998,0.135
Ireland,1999,0.137
Ireland,2000,0.14
Ireland,2001,0.142
Ireland,2002,0.145
Ireland,2003,0.147
Ireland,2004,0.15
Ireland,2005,0.152
Ireland,2006,0.155
Ireland,2007,0.157
Ireland,2008,0.16
Ireland,2009,0.163
Ireland,2010,0.165
Ireland,2011,0.168
Ireland,2012,0.171
Ireland,2013,0.174
Switzerland,1945,0.196
Switzerland,1946,0.198
Switzerland,1947,0.2
Switzerland,1948,0.203
Switzerland,1949,0.205
Switzerland,1950,0.207
Switzerland,1951,0.209
Switzerland,1952,0.211
Switzerland,1953,0.214
Switzerland,1954,0.216
Switzerland,1955,0.218
Switzerland,1956,0.22
Switzerland,1957,0.223
Switzerland,1958,0.225
Switzerland,1959,0.227
Switzerland,1960,0.23
Switzerland,1961,0.232
Switzerland,1962,0.234
Switzerland,1963,0.237
Switzerland,1964,0.239
Switzerland,1965,0.241
Switzerland,1966,0.244
Switzerland,1967,0.246
Switzerland,1968,0.248
Switzerland,1969,0.251
Switzerland,1970,0.253
Switzerland,1971,0.255
Switzerland,1972,0.258
Switzerland,1973,0.26
Switzerland,1974,0.263
Switzerland,1975,0.265
Switzerland,1976,0.267
Switzerland,1977,0.27
Switzerland,1978,0.272
Switzerland,1979,0.275
Switzerland,1980,0.277
Switzerland,1981,0.28
Switzerland,1982,0.282
Switzerland,1983,0.285
Switzerland,1984,0.287
Switzerland,1985,0.29
